theme,display_theme,is_generic_theme,primary_category,category_badge_color,total_mentions,avg_sentiment,sentiment_category,trending_score,trend_status,opportunity_score,recommendation,recent_4w_mentions,previous_4w_mentions,momentum_4w,purchase_intent_ratio,quality_mentions,recency_days,theme_explanation,seller_action
accommodation,Accommodation,False,travel,#808080,5,1.0,Very Positive,51.69,RISING,73.18,HIGH PRIORITY - Curate Listings,5.0,0.0,500.0,100.0,5,2,Collectible product or theme,Monitor and curate relevant listings
account sale,Account Sale,False,general,#808080,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,9,Collectible product or theme,Monitor and curate relevant listings
acquisition methods,Acquisition Methods,False,basketball,#FF6600,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,8,Collectible product or theme,Monitor and curate relevant listings
addiction,Addiction,False,pokemon,#FFCB05,3,-1.0,Very Negative,43.02,STEADY,30.71,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,10,Collectible product or theme,Monitor and curate relevant listings
airline brands,Airline Brands,False,general,#808080,8,0.0,Neutral,52.7,RISING,66.08,HIGH PRIORITY - Curate Listings,8.0,0.0,800.0,100.0,8,2,Collectible product or theme,Monitor and curate relevant listings
app bugs,App Bugs,False,football,#663300,1,-2.0,Very Negative,50.35,RISING,30.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,2,Collectible product or theme,Monitor and curate relevant listings
art focus,Art Focus,False,magic_the_gathering,#000000,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,10,Collectible product or theme,Monitor and curate relevant listings
artist identification,Artist Identification,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
artist recognition,Artist Recognition,False,general,#808080,1,2.0,Very Positive,50.35,RISING,58.14,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
artwork,Artwork,False,general,#808080,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,6,Collectible product or theme,Monitor and curate relevant listings
augmented reality,Augmented Reality,False,basketball,#FF6600,3,1.0,Very Positive,51.02,RISING,52.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
authentication,Authentication,False,pokemon,#FFCB05,3,0.33,Positive,51.02,RISING,59.24,MONITOR - Emerging Opportunity,3.0,0.0,300.0,66.67,3,5,People verifying card authenticity,Partner with authentication services
authenticity,Authenticity,False,pokemon,#FFCB05,9,-0.67,Very Negative,49.7,STEADY,53.21,MONITOR - Emerging Opportunity,9.0,0.0,900.0,66.67,6,3,Collectible product or theme,Monitor and curate relevant listings
autograph cards,Autograph Cards,False,baseball,#C41E3A,1,-1.0,Very Negative,42.35,STEADY,30.44,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,9,Collectible product or theme,Monitor and curate relevant listings
autograph parallels,Autograph Parallels,False,baseball,#C41E3A,1,1.0,Very Positive,42.35,STEADY,45.44,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,8,Collectible product or theme,Monitor and curate relevant listings
autographs,Autographs,False,general,#808080,2,0.5,Very Positive,50.69,RISING,67.02,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,5,Autographed card discussions,Promote authenticated autograph collections
availability,Availability,False,tcg,#4169E1,14,0.43,Positive,54.71,RISING,68.1,HIGH PRIORITY - Curate Listings,14.0,0.0,1400.0,100.0,14,4,Collectible product or theme,Monitor and curate relevant listings
banning,Banning,False,magic_the_gathering,#000000,7,-0.14,Negative,52.36,RISING,62.87,HIGH PRIORITY - Curate Listings,7.0,0.0,700.0,100.0,7,7,Collectible product or theme,Monitor and curate relevant listings
bargaining,Bargaining,False,gaming,#9932CC,1,-1.0,Very Negative,32.35,STEADY,46.44,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,0,8,Collectible product or theme,Monitor and curate relevant listings
base cards,Base Cards,False,general,#808080,1,0.0,Neutral,32.35,STEADY,53.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,0,8,Collectible product or theme,Monitor and curate relevant listings
baseball cards,Baseball Cards,False,baseball,#C41E3A,3,0.0,Neutral,51.02,RISING,45.41,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
battery_life,Battery_Life,False,general,#808080,3,-1.0,Very Negative,41.02,STEADY,51.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,100.0,0,6,Collectible product or theme,Monitor and curate relevant listings
binders,Binders,False,pokemon,#FFCB05,2,2.0,Very Positive,50.69,RISING,58.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,5,Collectible product or theme,Monitor and curate relevant listings
booster boxes,Booster Boxes,False,tcg,#4169E1,13,0.15,Positive,52.84,RISING,59.14,MONITOR - Emerging Opportunity,13.0,0.0,1300.0,69.23,11,6,Collectible product or theme,Monitor and curate relevant listings
booster packs,Booster Packs,False,tcg,#4169E1,4,0.5,Very Positive,48.86,STEADY,58.29,MONITOR - Emerging Opportunity,4.0,0.0,400.0,50.0,3,3,Collectible product or theme,Monitor and curate relevant listings
box breaks,Box Breaks,False,general,#808080,2,1.0,Very Positive,50.69,RISING,50.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,6,Collectible product or theme,Monitor and curate relevant listings
brands,Brands,False,general,#808080,9,0.0,Neutral,53.03,RISING,46.21,MONITOR - Emerging Opportunity,9.0,0.0,900.0,0.0,9,2,Collectible product or theme,Monitor and curate relevant listings
breaks,Breaks,False,general,#808080,1,1.0,Very Positive,50.35,RISING,52.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,3,Collectible product or theme,Monitor and curate relevant listings
bulk sale,Bulk Sale,False,basketball,#FF6600,1,0.0,Neutral,50.35,RISING,65.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,3,Collectible product or theme,Monitor and curate relevant listings
buyer inquiries,Buyer Inquiries,False,pokemon,#FFCB05,3,0.0,Neutral,51.02,RISING,63.41,HIGH PRIORITY - Curate Listings,3.0,0.0,300.0,100.0,3,4,Collectible product or theme,Monitor and curate relevant listings
buying advice,Buying Advice,False,pokemon,#FFCB05,1,0.0,Neutral,50.35,RISING,63.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,6,Collectible product or theme,Monitor and curate relevant listings
buying strategies,Buying Strategies,False,pokemon,#FFCB05,6,0.0,Neutral,52.03,RISING,63.81,HIGH PRIORITY - Curate Listings,6.0,0.0,600.0,100.0,6,5,Collectible product or theme,Monitor and curate relevant listings
buying strategy,Buying Strategy,False,pokemon,#FFCB05,1,0.0,Neutral,50.35,RISING,63.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,7,Collectible product or theme,Monitor and curate relevant listings
camping out,Camping Out,False,gaming,#9932CC,3,-1.0,Very Negative,41.02,STEADY,33.91,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,0,3,Collectible product or theme,Monitor and curate relevant listings
card anomalies,Card Anomalies,False,pokemon,#FFCB05,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
card art,Card Art,False,pokemon,#FFCB05,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,4,Collectible product or theme,Monitor and curate relevant listings
card balance,Card Balance,False,magic,#808080,2,0.0,Neutral,40.69,STEADY,39.27,LOW PRIORITY - Track for Changes,2.0,0.0,200.0,0.0,0,7,Collectible product or theme,Monitor and curate relevant listings
card collecting,Card Collecting,False,baseball,#C41E3A,5,1.0,Very Positive,51.69,RISING,67.18,HIGH PRIORITY - Curate Listings,5.0,0.0,500.0,80.0,5,6,Collectible product or theme,Monitor and curate relevant listings
card comparison,Card Comparison,False,general,#808080,6,0.0,Neutral,52.03,RISING,52.48,MONITOR - Emerging Opportunity,6.0,0.0,600.0,33.33,6,3,Collectible product or theme,Monitor and curate relevant listings
card condition,Card Condition,False,pokemon,#FFCB05,6,-0.33,Negative,52.03,RISING,54.64,MONITOR - Emerging Opportunity,6.0,0.0,600.0,66.67,6,5,Collectible product or theme,Monitor and curate relevant listings
card damage,Card Damage,False,general,#808080,1,-1.0,Very Negative,50.35,RISING,35.64,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
card design,Card Design,False,magic_the_gathering,#000000,3,1.33,Very Positive,44.35,STEADY,52.74,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,1,3,Collectible product or theme,Monitor and curate relevant listings
card dimensions,Card Dimensions,False,general,#808080,3,0.0,Neutral,51.02,RISING,63.41,HIGH PRIORITY - Curate Listings,3.0,0.0,300.0,100.0,3,7,Collectible product or theme,Monitor and curate relevant listings
card discussion,Card Discussion,False,magic,#808080,2,0.0,Neutral,40.69,STEADY,39.27,LOW PRIORITY - Track for Changes,2.0,0.0,200.0,0.0,0,7,Collectible product or theme,Monitor and curate relevant listings
card evolution,Card Evolution,False,basketball,#FF6600,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,8,Collectible product or theme,Monitor and curate relevant listings
card identification,Card Identification,False,pokemon,#FFCB05,2,0.5,Very Positive,45.69,STEADY,55.02,MONITOR - Emerging Opportunity,2.0,0.0,200.0,50.0,1,5,Collectible product or theme,Monitor and curate relevant listings
card interactions,Card Interactions,False,magic_the_gathering,#000000,8,0.0,Neutral,48.95,STEADY,42.58,MONITOR - Emerging Opportunity,8.0,0.0,800.0,0.0,5,5,Collectible product or theme,Monitor and curate relevant listings
card performance,Card Performance,False,gaming,#9932CC,2,0.0,Neutral,50.69,RISING,45.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,3,Collectible product or theme,Monitor and curate relevant listings
card protection,Card Protection,False,pokemon,#FFCB05,11,1.0,Very Positive,53.71,RISING,68.53,HIGH PRIORITY - Curate Listings,11.0,0.0,1100.0,72.73,11,2,Collectible product or theme,Monitor and curate relevant listings
card pulls,Card Pulls,False,pokemon,#FFCB05,2,1.0,Very Positive,50.69,RISING,52.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,3,Collectible product or theme,Monitor and curate relevant listings
card quality,Card Quality,False,pokemon,#FFCB05,2,-1.0,Very Negative,50.69,RISING,35.77,LOW PRIORITY - Track for Changes,2.0,0.0,200.0,0.0,2,5,Collectible product or theme,Monitor and curate relevant listings
card rarity,Card Rarity,False,baseball,#C41E3A,1,-1.0,Very Negative,42.35,STEADY,30.44,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,9,Collectible product or theme,Monitor and curate relevant listings
card recognition,Card Recognition,False,football,#663300,1,-2.0,Very Negative,50.35,RISING,30.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,2,Collectible product or theme,Monitor and curate relevant listings
card recommendations,Card Recommendations,False,general,#808080,9,0.0,Neutral,53.03,RISING,64.21,HIGH PRIORITY - Curate Listings,9.0,0.0,900.0,100.0,9,6,Collectible product or theme,Monitor and curate relevant listings
card sets,Card Sets,False,general,#808080,8,0.0,Neutral,52.7,RISING,46.08,MONITOR - Emerging Opportunity,8.0,0.0,800.0,0.0,8,2,Collectible product or theme,Monitor and curate relevant listings
card sleeves,Card Sleeves,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
card trading,Card Trading,False,pokemon,#FFCB05,3,0.0,Neutral,51.02,RISING,63.41,HIGH PRIORITY - Curate Listings,3.0,0.0,300.0,100.0,3,4,Collectible product or theme,Monitor and curate relevant listings
card types,Card Types,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,50.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,4,Collectible product or theme,Monitor and curate relevant listings
card usage strategy,Card Usage Strategy,False,general,#808080,1,0.0,Neutral,50.35,RISING,63.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,6,Collectible product or theme,Monitor and curate relevant listings
card valuation,Card Valuation,False,general,#808080,1,1.0,Very Positive,50.35,RISING,72.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,2,Collectible product or theme,Monitor and curate relevant listings
card value,Card Value,False,baseball,#C41E3A,3,0.67,Very Positive,43.02,STEADY,43.21,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,8,Collectible product or theme,Monitor and curate relevant listings
card variations,Card Variations,False,pokemon,#FFCB05,6,0.0,Neutral,44.03,STEADY,58.61,MONITOR - Emerging Opportunity,6.0,0.0,600.0,100.0,6,8,Collectible product or theme,Monitor and curate relevant listings
card_condition,Card_Condition,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,7,Collectible product or theme,Monitor and curate relevant listings
card_value,Card_Value,False,baseball,#C41E3A,1,0.0,Neutral,42.35,STEADY,37.94,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,9,Collectible product or theme,Monitor and curate relevant listings
case configuration,Case Configuration,False,general,#808080,2,0.0,Neutral,32.69,STEADY,34.07,LOW PRIORITY - Track for Changes,2.0,0.0,200.0,0.0,0,8,Collectible product or theme,Monitor and curate relevant listings
cash back,Cash Back,False,general,#808080,2,0.0,Neutral,50.69,RISING,65.27,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,3,Collectible product or theme,Monitor and curate relevant listings
celebration,Celebration,False,baseball,#C41E3A,1,2.0,Very Positive,42.35,STEADY,72.94,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,9,Collectible product or theme,Monitor and curate relevant listings
celebrity cards,Celebrity Cards,False,baseball,#C41E3A,4,1.0,Very Positive,51.36,RISING,53.04,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,4,2,Collectible product or theme,Monitor and curate relevant listings
celebrity endorsements,Celebrity Endorsements,False,basketball,#FF6600,3,1.0,Very Positive,51.02,RISING,52.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
censorship,Censorship,False,pokemon,#FFCB05,6,0.0,Neutral,44.03,STEADY,58.61,MONITOR - Emerging Opportunity,6.0,0.0,600.0,100.0,6,8,Collectible product or theme,Monitor and curate relevant listings
character cards,Character Cards,False,pokemon,#FFCB05,1,0.0,Neutral,50.35,RISING,43.14,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
charizard,Charizard,False,pokemon,#FFCB05,1,1.0,Very Positive,40.35,STEADY,66.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,0,4,Collectible product or theme,Monitor and curate relevant listings
chase offers,Chase Offers,False,general,#808080,2,0.0,Neutral,50.69,RISING,65.27,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,3,Collectible product or theme,Monitor and curate relevant listings
checklists,Football - Checklists & Set Completion,True,football,#663300,30,0.0,Neutral,56.41,RISING,47.56,MONITOR - Emerging Opportunity,20.0,0.0,2000.0,0.0,25,2,Collectible product or theme,Monitor and curate relevant listings
childhood collection,Childhood Collection,False,pokemon,#FFCB05,2,2.0,Very Positive,50.69,RISING,58.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,5,Collectible product or theme,Monitor and curate relevant listings
children's interests,Children'S Interests,False,tcg,#4169E1,1,1.0,Very Positive,50.35,RISING,52.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,3,Collectible product or theme,Monitor and curate relevant listings
coin buying,Coin Buying,False,soccer,#00AA00,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,10,Collectible product or theme,Monitor and curate relevant listings
collectibility,Collectibility,False,general,#808080,1,0.0,Neutral,50.35,RISING,63.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,5,Collectible product or theme,Monitor and curate relevant listings
collectible card sets,Collectible Card Sets,False,basketball,#FF6600,5,0.0,Neutral,51.69,RISING,45.68,MONITOR - Emerging Opportunity,5.0,0.0,500.0,0.0,5,2,Collectible product or theme,Monitor and curate relevant listings
collectible cards,Collectible Cards,False,pokemon,#FFCB05,30,-0.1,Neutral,59.08,RISING,47.88,MONITOR - Emerging Opportunity,30.0,0.0,3000.0,0.0,27,2,Collectible product or theme,Monitor and curate relevant listings
collectibles,Pokemon - Collectibles General,True,trading_card,#808080,28,0.0,Neutral,56.19,RISING,52.48,MONITOR - Emerging Opportunity,28.0,0.0,2800.0,25.0,19,2,Collectible product or theme,Monitor and curate relevant listings
collecting,General - Collection Building,True,pokemon,#FFCB05,117,0.58,Very Positive,87.81,HOT,74.06,HIGH PRIORITY - Curate Listings,117.0,0.0,11700.0,47.86,100,2,People building and organizing collections,"Promote starter sets, binders, organizers"
collecting advice,Collecting Advice,False,tcg,#4169E1,8,0.0,Neutral,52.7,RISING,56.08,MONITOR - Emerging Opportunity,8.0,0.0,800.0,50.0,8,2,Collectible product or theme,Monitor and curate relevant listings
collecting experience,Collecting Experience,False,general,#808080,8,0.0,Neutral,44.7,STEADY,38.88,LOW PRIORITY - Track for Changes,8.0,0.0,800.0,0.0,8,9,Collectible product or theme,Monitor and curate relevant listings
collecting preferences,Collecting Preferences,False,general,#808080,7,0.0,Neutral,52.36,RISING,63.95,HIGH PRIORITY - Curate Listings,7.0,0.0,700.0,100.0,7,4,Collectible product or theme,Monitor and curate relevant listings
collecting strategy,Collecting Strategy,False,magic_the_gathering,#000000,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,10,Collectible product or theme,Monitor and curate relevant listings
collecting tips,Collecting Tips,False,pokemon,#FFCB05,2,1.0,Very Positive,50.69,RISING,50.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,4,Collectible product or theme,Monitor and curate relevant listings
collection,Collection,False,pokemon,#FFCB05,1,0.0,Neutral,50.35,RISING,43.14,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
collector excitement,Collector Excitement,False,general,#808080,1,1.0,Very Positive,32.35,STEADY,41.44,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,10,Collectible product or theme,Monitor and curate relevant listings
collector experience,Collector Experience,False,pokemon,#FFCB05,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,4,Collectible product or theme,Monitor and curate relevant listings
collector opinions,Collector Opinions,False,baseball,#C41E3A,1,1.0,Very Positive,42.35,STEADY,45.44,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,8,Collectible product or theme,Monitor and curate relevant listings
collector preferences,Collector Preferences,False,general,#808080,2,0.0,Neutral,50.69,RISING,63.27,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,4,Collectible product or theme,Monitor and curate relevant listings
collector_knowledge,Collector_Knowledge,False,pokemon,#FFCB05,1,1.0,Very Positive,42.35,STEADY,45.44,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,10,Collectible product or theme,Monitor and curate relevant listings
commander selection,Commander Selection,False,magic_the_gathering,#000000,2,1.0,Very Positive,40.69,STEADY,66.77,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
community,Community,False,pokemon,#FFCB05,4,0.5,Very Positive,46.36,STEADY,55.29,MONITOR - Emerging Opportunity,4.0,0.0,400.0,50.0,2,6,Collectible product or theme,Monitor and curate relevant listings
community discussion,Community Discussion,False,general,#808080,4,1.0,Very Positive,43.36,STEADY,45.84,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,4,9,Collectible product or theme,Monitor and curate relevant listings
community engagement,Community Engagement,False,pokemon,#FFCB05,10,1.0,Very Positive,36.57,STEADY,43.13,MONITOR - Emerging Opportunity,7.0,3.0,100.0,0.0,3,10,Collectible product or theme,Monitor and curate relevant listings
community events,Community Events,False,tcg,#4169E1,2,0.0,Neutral,50.69,RISING,43.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,5,Collectible product or theme,Monitor and curate relevant listings
community experience,Community Experience,False,pokemon,#FFCB05,7,1.0,Very Positive,52.36,RISING,73.45,HIGH PRIORITY - Curate Listings,7.0,0.0,700.0,100.0,7,3,Collectible product or theme,Monitor and curate relevant listings
community experiences,Community Experiences,False,tcg,#4169E1,4,1.0,Very Positive,51.36,RISING,51.04,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,4,5,Collectible product or theme,Monitor and curate relevant listings
community help,Community Help,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,5,Collectible product or theme,Monitor and curate relevant listings
