theme,display_theme,is_generic_theme,primary_category,category_badge_color,total_mentions,avg_sentiment,sentiment_category,trending_score,trend_status,opportunity_score,recommendation,recent_4w_mentions,previous_4w_mentions,momentum_4w,purchase_intent_ratio,quality_mentions,recency_days,theme_explanation,seller_action
community reactions,Community Reactions,False,pokemon,#FFCB05,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,4,Collectible product or theme,Monitor and curate relevant listings
community support,Community Support,False,pokemon,#FFCB05,2,1.0,Very Positive,45.69,STEADY,58.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,50.0,1,4,Collectible product or theme,Monitor and curate relevant listings
company innovations,Company Innovations,False,basketball,#FF6600,2,1.0,Very Positive,50.69,RISING,52.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,2,Collectible product or theme,Monitor and curate relevant listings
comparison to pokemon,Comparison To Pokemon,False,tcg,#4169E1,6,1.0,Very Positive,52.03,RISING,71.31,HIGH PRIORITY - Curate Listings,6.0,0.0,600.0,100.0,6,4,Collectible product or theme,Monitor and curate relevant listings
computer components,Computer Components,False,general,#808080,2,0.0,Neutral,40.69,STEADY,59.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
condition,Condition,False,pokemon,#FFCB05,8,-0.38,Negative,48.95,STEADY,57.27,MONITOR - Emerging Opportunity,8.0,0.0,800.0,87.5,5,4,Collectible product or theme,Monitor and curate relevant listings
consumer behavior,Consumer Behavior,False,pokemon,#FFCB05,3,-1.0,Very Negative,43.02,STEADY,30.71,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,10,Collectible product or theme,Monitor and curate relevant listings
content unlocking,Content Unlocking,False,motorsport,#FF1493,3,-1.0,Very Negative,51.02,RISING,35.91,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,7,Collectible product or theme,Monitor and curate relevant listings
conversion policy,Conversion Policy,False,general,#808080,2,0.0,Neutral,40.69,STEADY,59.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
corporate partnerships,Corporate Partnerships,False,basketball,#FF6600,3,1.0,Very Positive,51.02,RISING,52.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
corrections,Corrections,False,pokemon,#FFCB05,6,0.0,Neutral,42.03,STEADY,39.81,LOW PRIORITY - Track for Changes,6.0,0.0,600.0,0.0,0,7,Collectible product or theme,Monitor and curate relevant listings
counterfeit detection,Counterfeit Detection,False,pokemon,#FFCB05,3,-1.0,Very Negative,51.02,RISING,44.58,MONITOR - Emerging Opportunity,3.0,0.0,300.0,33.33,3,3,Collectible product or theme,Monitor and curate relevant listings
creative ideas,Creative Ideas,False,magic_the_gathering,#000000,2,1.0,Very Positive,40.69,STEADY,66.77,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
credit cards,Credit Cards,False,general,#808080,12,0.0,Neutral,53.21,RISING,66.28,HIGH PRIORITY - Curate Listings,12.0,0.0,1200.0,100.0,11,3,Collectible product or theme,Monitor and curate relevant listings
custom alters,Custom Alters,False,magic_the_gathering,#000000,2,1.0,Very Positive,40.69,STEADY,66.77,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
custom cards,Custom Cards,False,magic,#808080,5,0.8,Very Positive,43.69,STEADY,52.48,MONITOR - Emerging Opportunity,5.0,0.0,500.0,20.0,1,3,Collectible product or theme,Monitor and curate relevant listings
custom_products,Custom_Products,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,66.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,0,6,Collectible product or theme,Monitor and curate relevant listings
customer service,Customer Service,False,baseball,#C41E3A,6,-0.5,Negative,52.03,RISING,48.73,MONITOR - Emerging Opportunity,6.0,0.0,600.0,33.33,6,2,Collectible product or theme,Monitor and curate relevant listings
customization,Customization,False,general,#808080,3,1.0,Very Positive,51.02,RISING,70.91,HIGH PRIORITY - Curate Listings,3.0,0.0,300.0,100.0,3,7,Collectible product or theme,Monitor and curate relevant listings
deals,Deals,False,general,#808080,1,1.0,Very Positive,42.35,STEADY,65.44,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,8,Collectible product or theme,Monitor and curate relevant listings
deck building,Deck Building,False,general,#808080,1,0.0,Neutral,40.35,STEADY,59.14,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,0,4,Collectible product or theme,Monitor and curate relevant listings
deck strategy,Deck Strategy,False,general,#808080,4,0.0,Neutral,43.36,STEADY,38.34,LOW PRIORITY - Track for Changes,4.0,0.0,400.0,0.0,4,8,Collectible product or theme,Monitor and curate relevant listings
denominations,Denominations,False,general,#808080,8,0.0,Neutral,52.7,RISING,66.08,HIGH PRIORITY - Curate Listings,8.0,0.0,800.0,100.0,8,2,Collectible product or theme,Monitor and curate relevant listings
digital cards,Digital Cards,False,basketball,#FF6600,3,1.0,Very Positive,51.02,RISING,52.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
digital goods,Digital Goods,False,general,#808080,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,9,Collectible product or theme,Monitor and curate relevant listings
digital rewards,Digital Rewards,False,general,#808080,8,0.0,Neutral,52.7,RISING,66.08,HIGH PRIORITY - Curate Listings,8.0,0.0,800.0,100.0,8,2,Collectible product or theme,Monitor and curate relevant listings
digital skins,Digital Skins,False,general,#808080,2,-1.0,Very Negative,40.69,STEADY,51.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,6,Collectible product or theme,Monitor and curate relevant listings
disclaimer,Disclaimer,False,general,#808080,9,0.0,Neutral,53.03,RISING,46.21,MONITOR - Emerging Opportunity,9.0,0.0,900.0,0.0,9,2,Collectible product or theme,Monitor and curate relevant listings
discounts,Discounts,False,general,#808080,1,0.0,Neutral,50.35,RISING,63.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,6,Collectible product or theme,Monitor and curate relevant listings
ebay policy,Ebay Policy,False,general,#808080,1,-1.0,Very Negative,50.35,RISING,35.64,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
edc,Edc,False,tcg,#4169E1,4,0.0,Neutral,41.36,STEADY,41.54,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,0,3,Collectible product or theme,Monitor and curate relevant listings
eligibility,Eligibility,False,general,#808080,10,0.0,Neutral,52.37,RISING,63.95,HIGH PRIORITY - Curate Listings,10.0,0.0,1000.0,100.0,9,4,Collectible product or theme,Monitor and curate relevant listings
english version,English Version,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,5,Collectible product or theme,Monitor and curate relevant listings
entertainment,Entertainment,False,pokemon,#FFCB05,7,0.0,Neutral,52.36,RISING,45.95,MONITOR - Emerging Opportunity,7.0,0.0,700.0,0.0,7,2,Collectible product or theme,Monitor and curate relevant listings
era classification,Era Classification,False,pokemon,#FFCB05,6,0.0,Neutral,42.03,STEADY,39.81,LOW PRIORITY - Track for Changes,6.0,0.0,600.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
event prizing,Event Prizing,False,tcg,#4169E1,3,0.0,Neutral,43.02,STEADY,38.21,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,8,Collectible product or theme,Monitor and curate relevant listings
ex cards,Ex Cards,False,pokemon,#FFCB05,2,2.0,Very Positive,50.69,RISING,58.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,2,5,Collectible product or theme,Monitor and curate relevant listings
exile zone,Exile Zone,False,magic_the_gathering,#000000,5,0.0,Neutral,51.69,RISING,43.68,MONITOR - Emerging Opportunity,5.0,0.0,500.0,0.0,5,5,Collectible product or theme,Monitor and curate relevant listings
experiences,Experiences,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,66.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,0,6,Collectible product or theme,Monitor and curate relevant listings
fake cards,Fake Cards,False,pokemon,#FFCB05,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,7,Collectible product or theme,Monitor and curate relevant listings
fakes,Fakes,False,pokemon,#FFCB05,2,0.0,Neutral,40.69,STEADY,39.27,LOW PRIORITY - Track for Changes,2.0,0.0,200.0,0.0,0,6,Collectible product or theme,Monitor and curate relevant listings
family transactions,Family Transactions,False,pokemon,#FFCB05,3,-1.0,Very Negative,33.02,STEADY,46.71,MONITOR - Emerging Opportunity,3.0,0.0,300.0,100.0,0,8,Collectible product or theme,Monitor and curate relevant listings
fan merchandise,Fan Merchandise,False,baseball,#C41E3A,1,2.0,Very Positive,42.35,STEADY,72.94,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,9,Collectible product or theme,Monitor and curate relevant listings
feature updates,Feature Updates,False,football,#663300,1,-2.0,Very Negative,50.35,RISING,30.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,2,Collectible product or theme,Monitor and curate relevant listings
feedback,Feedback,False,magic_the_gathering,#000000,2,1.0,Very Positive,40.69,STEADY,48.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,0.0,0,3,Collectible product or theme,Monitor and curate relevant listings
financial priorities,Financial Priorities,False,general,#808080,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,10,Collectible product or theme,Monitor and curate relevant listings
financial struggles,Financial Struggles,False,pokemon,#FFCB05,3,-1.0,Very Negative,43.02,STEADY,30.71,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,10,Collectible product or theme,Monitor and curate relevant listings
first card,First Card,False,pokemon,#FFCB05,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,4,Collectible product or theme,Monitor and curate relevant listings
first edition,First Edition,False,pokemon,#FFCB05,5,1.0,Very Positive,51.69,RISING,71.18,HIGH PRIORITY - Curate Listings,5.0,0.0,500.0,100.0,5,6,Collectible product or theme,Monitor and curate relevant listings
formats,Formats,False,magic_the_gathering,#000000,6,0.0,Neutral,52.03,RISING,63.81,HIGH PRIORITY - Curate Listings,6.0,0.0,600.0,100.0,6,7,Collectible product or theme,Monitor and curate relevant listings
franchise merchandise,Franchise Merchandise,False,general,#808080,4,0.0,Neutral,51.36,RISING,45.54,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,4,2,Collectible product or theme,Monitor and curate relevant listings
frustration,Frustration,False,baseball,#C41E3A,1,-1.0,Very Negative,42.35,STEADY,30.44,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,9,Collectible product or theme,Monitor and curate relevant listings
fusion strike,Fusion Strike,False,pokemon,#FFCB05,1,0.0,Neutral,50.35,RISING,65.14,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,3,Collectible product or theme,Monitor and curate relevant listings
gambling,Gambling,False,pokemon,#FFCB05,3,-1.0,Very Negative,43.02,STEADY,30.71,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,10,Collectible product or theme,Monitor and curate relevant listings
game mechanics,Game Mechanics,False,magic_the_gathering,#000000,12,0.17,Positive,49.87,STEADY,46.2,MONITOR - Emerging Opportunity,12.0,0.0,1200.0,0.0,7,3,Collectible product or theme,Monitor and curate relevant listings
game update,Game Update,False,motorsport,#FF1493,4,-0.75,Very Negative,51.36,RISING,42.92,MONITOR - Emerging Opportunity,4.0,0.0,400.0,25.0,4,6,Collectible product or theme,Monitor and curate relevant listings
gameplay attributes,Gameplay Attributes,False,basketball,#FF6600,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,8,Collectible product or theme,Monitor and curate relevant listings
gameplay impact,Gameplay Impact,False,magic_the_gathering,#000000,6,0.0,Neutral,52.03,RISING,63.81,HIGH PRIORITY - Curate Listings,6.0,0.0,600.0,100.0,6,7,Collectible product or theme,Monitor and curate relevant listings
gameplay tips,Gameplay Tips,False,general,#808080,4,0.0,Neutral,43.36,STEADY,38.34,LOW PRIORITY - Track for Changes,4.0,0.0,400.0,0.0,4,8,Collectible product or theme,Monitor and curate relevant listings
games,Games,False,sports,#808080,4,1.0,Very Positive,51.36,RISING,73.04,HIGH PRIORITY - Curate Listings,4.0,0.0,400.0,100.0,4,2,Collectible product or theme,Monitor and curate relevant listings
gaming,Gaming,False,tcg,#4169E1,10,0.1,Positive,44.37,STEADY,43.5,MONITOR - Emerging Opportunity,10.0,0.0,1000.0,10.0,1,6,Collectible product or theme,Monitor and curate relevant listings
gaming devices,Gaming Devices,False,tcg,#4169E1,4,0.0,Neutral,41.36,STEADY,41.54,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,0,3,Collectible product or theme,Monitor and curate relevant listings
gaming items,Gaming Items,False,general,#808080,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,9,Collectible product or theme,Monitor and curate relevant listings
gaming releases,Gaming Releases,False,gaming,#9932CC,3,-1.0,Very Negative,41.02,STEADY,33.91,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,0,3,Collectible product or theme,Monitor and curate relevant listings
gardening,Gardening,False,sports,#808080,2,1.0,Very Positive,50.69,RISING,72.77,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,2,Collectible product or theme,Monitor and curate relevant listings
gift cards,Gift Cards,False,travel,#808080,45,0.11,Positive,65.11,RISING,65.21,HIGH PRIORITY - Curate Listings,45.0,0.0,4500.0,66.67,45,2,People buying or discussing gift cards,Promote seasonal gift card bundles
gift giving,Gift Giving,False,soccer,#00AA00,7,1.0,Very Positive,52.36,RISING,51.45,MONITOR - Emerging Opportunity,7.0,0.0,700.0,0.0,7,5,Collectible product or theme,Monitor and curate relevant listings
gift ideas,Gift Ideas,False,baseball,#C41E3A,6,1.0,Very Positive,44.03,STEADY,66.11,HIGH PRIORITY - Curate Listings,6.0,0.0,600.0,100.0,6,8,Collectible product or theme,Monitor and curate relevant listings
gift_ideas,Gift_Ideas,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,66.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,0,6,Collectible product or theme,Monitor and curate relevant listings
global expansion,Global Expansion,False,basketball,#FF6600,3,1.0,Very Positive,51.02,RISING,52.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
grading,Baseball - Card Grading Questions,True,pokemon,#FFCB05,70,0.74,Very Positive,72.64,HOT,72.48,HIGH PRIORITY - Curate Listings,70.0,0.0,7000.0,64.29,64,2,People asking about PSA/BGS grading services,"Partner with PSA/BGS, offer grading discounts"
grading companies,Grading Companies,False,general,#808080,7,1.0,Very Positive,52.36,RISING,71.45,HIGH PRIORITY - Curate Listings,7.0,0.0,700.0,100.0,7,6,Collectible product or theme,Monitor and curate relevant listings
grading_companies,Grading_Companies,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,7,Collectible product or theme,Monitor and curate relevant listings
guessing game,Guessing Game,False,pokemon,#FFCB05,7,1.0,Very Positive,34.36,STEADY,42.25,MONITOR - Emerging Opportunity,7.0,0.0,700.0,0.0,0,10,Collectible product or theme,Monitor and curate relevant listings
handling,Handling,False,general,#808080,1,0.0,Neutral,40.35,STEADY,59.14,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,0,4,Collectible product or theme,Monitor and curate relevant listings
handling advice,Handling Advice,False,pokemon,#FFCB05,5,1.0,Very Positive,51.69,RISING,71.18,HIGH PRIORITY - Curate Listings,5.0,0.0,500.0,100.0,5,6,Collectible product or theme,Monitor and curate relevant listings
hardware sale,Hardware Sale,False,general,#808080,2,0.0,Neutral,40.69,STEADY,59.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
high-value sales,High-Value Sales,False,pokemon,#FFCB05,4,1.0,Very Positive,51.36,RISING,51.04,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,4,7,Collectible product or theme,Monitor and curate relevant listings
historical value,Historical Value,False,baseball,#C41E3A,4,1.0,Very Positive,51.36,RISING,73.04,HIGH PRIORITY - Curate Listings,4.0,0.0,400.0,100.0,4,2,Collectible product or theme,Monitor and curate relevant listings
hoarding,Hoarding,False,general,#808080,2,-1.0,Very Negative,40.69,STEADY,51.77,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,6,Collectible product or theme,Monitor and curate relevant listings
hobby culture,Hobby Culture,False,gaming,#9932CC,3,-1.0,Very Negative,41.02,STEADY,33.91,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,0,3,Collectible product or theme,Monitor and curate relevant listings
holographic stickers,Holographic Stickers,False,general,#808080,3,1.0,Very Positive,51.02,RISING,70.91,HIGH PRIORITY - Curate Listings,3.0,0.0,300.0,100.0,3,7,Collectible product or theme,Monitor and curate relevant listings
home improvement,Home Improvement,False,sports,#808080,2,1.0,Very Positive,50.69,RISING,72.77,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,2,Collectible product or theme,Monitor and curate relevant listings
humor,Humor,False,pokemon,#FFCB05,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,7,Collectible product or theme,Monitor and curate relevant listings
identification,Identification,False,pokemon,#FFCB05,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,10,Collectible product or theme,Monitor and curate relevant listings
illustration quality,Illustration Quality,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,6,Collectible product or theme,Monitor and curate relevant listings
in-game currency,In-Game Currency,False,general,#808080,2,0.0,Neutral,40.69,STEADY,59.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
inserts,Inserts,False,multiple,#808080,1,1.0,Very Positive,50.35,RISING,72.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,2,Collectible product or theme,Monitor and curate relevant listings
international currencies,International Currencies,False,general,#808080,8,0.0,Neutral,52.7,RISING,66.08,HIGH PRIORITY - Curate Listings,8.0,0.0,800.0,100.0,8,2,Collectible product or theme,Monitor and curate relevant listings
international editions,International Editions,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,50.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
investing,Baseball - Investment Activity,True,baseball,#C41E3A,17,0.71,Very Positive,55.32,RISING,70.07,HIGH PRIORITY - Curate Listings,15.0,0.0,1500.0,88.24,17,2,Collectible product or theme,Monitor and curate relevant listings
investment,Investment,False,tcg,#4169E1,10,0.9,Very Positive,52.37,RISING,64.7,HIGH PRIORITY - Curate Listings,10.0,0.0,1000.0,60.0,9,2,Investment and ROI discussions,Provide market data and investment guides
investment value,Investment Value,False,pokemon,#FFCB05,5,0.0,Neutral,43.69,STEADY,58.48,MONITOR - Emerging Opportunity,5.0,0.0,500.0,100.0,5,10,Collectible product or theme,Monitor and curate relevant listings
japanese 1st edition,Japanese 1St Edition,False,pokemon,#FFCB05,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,4,Collectible product or theme,Monitor and curate relevant listings
japanese op sets,Japanese Op Sets,False,general,#808080,3,1.0,Very Positive,51.02,RISING,70.91,HIGH PRIORITY - Curate Listings,3.0,0.0,300.0,100.0,3,7,Collectible product or theme,Monitor and curate relevant listings
kindness,Kindness,False,pokemon,#FFCB05,1,1.0,Very Positive,50.35,RISING,50.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
language editions,Language Editions,False,general,#808080,7,0.0,Neutral,52.36,RISING,63.95,HIGH PRIORITY - Curate Listings,7.0,0.0,700.0,100.0,7,4,Collectible product or theme,Monitor and curate relevant listings
language variants,Language Variants,False,pokemon,#FFCB05,6,0.17,Positive,50.36,RISING,64.39,HIGH PRIORITY - Curate Listings,6.0,0.0,600.0,100.0,5,4,Collectible product or theme,Monitor and curate relevant listings
legality,Legality,False,general,#808080,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
limited edition,Limited Edition,False,baseball,#C41E3A,4,1.0,Very Positive,51.36,RISING,53.04,MONITOR - Emerging Opportunity,4.0,0.0,400.0,0.0,4,2,Collectible product or theme,Monitor and curate relevant listings
limited production,Limited Production,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
local store policies,Local Store Policies,False,general,#808080,1,0.0,Neutral,40.35,STEADY,39.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
local trade,Local Trade,False,general,#808080,2,0.0,Neutral,40.69,STEADY,59.27,MONITOR - Emerging Opportunity,2.0,0.0,200.0,100.0,0,5,Collectible product or theme,Monitor and curate relevant listings
